NAME_PIPPI4,Natalie,Natalie,Natalie,ナタリー,나탈리,Natalie,Natalie,Natália,Natalia,Natalie,Натали,Наталі,
NAME_PIPPI5,Katt,Katt,Katt,ケイティ,캣,Katt,Katt,Katt,Katt,Katt,Кэтт,Кетт,
NAME_PIPPI6,Ashley,Ashley,Ashley,アシュリー,애슐리,Ashley,Ashley,Ashley,Ashley,Ashley,Эшли,Ешлі,
NAME_TEDDY0,Teddy,Teddy,Teddy,テディ,테디,Teddy,Teddy,Teddy,Teddy,Teddy,Тедди,Тедді,
NAME_TEDDY1,Joe,Joe,Joe,ジョー,조,Joe,Joe,João,Joe,Joe,Джо,Джо,
NAME_TEDDY2,Leo,Leo,Leo,レオ,레오,Leo,Leo,Briggs,Leon,Leo,Лео,Лео,
NAME_TEDDY3,Jeb,Jeb,Jeb,ジェブ,젭,Jeb,Jeb,Madruga,Jeb,Jeb,Джеб,Джеб,
NAME_TEDDY4,Alec,Alec,Alec,アレック,알렉,Alec,Alec,Thomas,Alec,Alex,Алек,Алек,
NAME_TEDDY5,Rand,Rand,Rand,ランド,랜드,Rand,Rand,Roberto,Rand,Randy,Ранд,Ранд,
NAME_TEDDY6,Dallas,Dallas,Dallas,ダラス,댈러스,Dallas,Dallas,Damião,Dallas,Dallas,Даллас,Даллас,
NAME_FLYINGMAN,Flying Man,Garuda,Flying Man,フライングマン,플라잉 맨,Flying Man,Hombre volador,Homem Voador,Latający Pan,Fliegender Mann,Полётчик,Льотчик,
NAME_CANARYCHICK,Canary Chick,Bébé canari,Pulcino di canarino,カナリアのヒナ,아기 카나리아,Canario bebé,Cría de canario,Canário Filhote,Kanarek,Kanarienküken,Птенец канарейки,Пташеня канарки,
NAME_EVE,EVE,ÈVE,EVE,イヴ,이브,EVE,EVE,EVA,EVE,EVE,ЕВА,ЄВА,
FAVFOOD0,Prime Rib,Côte de bœuf,Costolette,プライムリブ,소갈비,Bistec,Costillas,Costeleta,Żeberka,Rostbraten,Рёбрышки,Смажені ребра,
FAVFOOD1,Bean Paste,Perles coco,Marmellata,あんパン,단팥빵,Frijoles,Judías,Feijoada,Pasta z fasoli,Apfelmus,Фасоль,Квасоля,
FAVFOOD2,Creme Cookies,Macaron,Biscotti,クリームクッキー,크림 쿠키,Galletas,Galletas,Cookies,Ciastka z kremem,Creme-Kekse,Печенье,Печиво,
FAVFOOD3,Pasta,Pâtes,Pasta,パスタ,파스타,Fideos,Pasta,Macarrão,Makaron,Nudeln,Макароны,Макарони,
FAVFOOD4,Omelets,Omelette,Omelette,オムレツ,오믈렛,Tortillas,Tortilla,Omelete,Omlety,Omelett,Омлет,Омлет,
FAVFOOD5,Custard,Crème brûlée,Budino,おこさまランチ,커스터드,Budín,Natillas,Pavê,Budyń,Pudding,Крем-брюле,Крем-брюле,
FAVFOOD6,Salmon,Saumon,Salmone,サーモン,연어,Salmón,Salmón,Tilápia,Łosoś,Lachs,Лосось,Лосось,
LONGEST_POSSIBLE_NAME,ŒŒŒŒŒŒŒ,,,ああああああ,절절절절절절,,,,,,ЩЩЩЩЩЩЩ,ЩЩЩЩЩЩЩ,
LONGEST_POSSIBLE_FOOD,ŒŒŒŒŒŒŒŒŒŒŒŒŒ,,,ああああああああああ,절절절절절절절절절절,,,,,,ЩЩЩЩЩЩЩЩЩЩЩЩЩ,ЩЩЩЩЩЩЩЩЩЩЩЩЩ,
LONGEST_POSSIBLE_PLAYER_NAME,ŒŒŒŒŒŒŒŒŒŒŒŒŒ,,,ああああああああああ,절절절절절절절절절절,,,,,,ЩЩЩЩЩЩЩЩЩЩЩЩЩ,ЩЩЩЩЩЩЩЩЩЩЩЩЩ,
NAME_BIO0,What is this boy's name?,Comment s'appelle ce garçon ?,Come si chiama questo ragazzo?,なまえを　つけてください,남자아이의 이름은?,¿Cúal es el nombre de este chico?,¿Cúal es el nombre de este chico?,Qual é o nome deste garoto?,Jak ma na imię ten chłopiec?,Wie heißt dieser Junge?,Как зовут этого мальчика?,Як звати цього хлопчика?,
NAME_BIO1,What is this girl's name?,Comment s'appelle cette fille ?,E questa ragazza?,おんなのこの　なまえは？,여자아이의 이름은?,¿Cúal es el nombre de esta chica?,¿Cuál es el nombre de esta chica?,Qual é o nome desta garota?,Jak ma na imię ta dziewczyna?,Wie heißt dieses Mädchen?,А как зовут эту девочку?,Як звати цю дівчинку?,
NAME_BIO2,This other boy's name?,Et cet autre garçon ?,"Quest'altro ragazzo, invece?",ともだちの　なまえは？,친구의 이름은?,¿Y el de este chico?,¿Y el de este chico?,O nome deste outro garoto?,Jak ma ten chłopiec na imię?,Und der Name des anderen Jungen?,А его как зовут?,А цього як звати?,
NAME_BIO3,This other girl's name?,Et cette autre fille ?,E quest'altra ragazza?,もうひとりの　おんなのこは？,다른 여자아이의 이름은?,¿Y el de esta chica?,¿Y el nombre de esta otra chica?,O nome desta outra garota?,Imię drugiej dziewczyny?,Und der Name des anderen Mädchens?,А эту девчушку?,А цю дівчинку?,
NAME_BIO4,This last boy's name?,Et ce dernier garçon ?,E il nome di quest'ultimo?,もうひとりの　ともだちは？,다른 친구의 이름은?,¿Cómo se llama este último chico?,¿Cómo se llama este último chico?,O nome deste homem?,Imię ostatniego chłopca?,Und der Name des letzten Jungen?,Как назовёте этого парня?,А як цього?,
NAME_BIO5,What is your favorite homemade food?,Qu'est-ce que vous adorez manger ?,Qual è il tuo cibo preferito?,すきなこんだては　なに？,가장 좋아하는 음식은?,¿Cúal es tu plato favorito?,¿Cuál es tu comida favorita?,Qual é a sua comida favorita?,Jakie jest twoje ulubione jedzenie?,Was ist dein Leibgericht?,Ваше любимое домашнее блюдо?,Ваша улюблена домашня страва?,
BLACKLISTED_NAMES,"george,minnie,mimmie,duncan,abbott,abbé,laura,gyiyg,giegue,giygas,mary,maria,maría,eve,ève",,,"ジョージ,ミニー,ミミー,アボット！,ローラ,ギーグ,マリー,マリア,イヴ,ｇｅｏｒｇｅ,ｍｉｎｎｉｅ,ｍｉｍｍｉｅ,ｄｕｎｃａｎ,ａｂｂｏｔｔ,ｌａｕｒａ,ｇｙｉｙｇ,ｇｉｅｇｕｅ,ｇｉｙｇａｓ,ｍａｒｙ,ｍａｒｉａ,ｅｖｅ","조지,미니,미미,애봇,로라,기그,마리,마리아,이브,george,minnie,mimmie,duncan,abbott,laura,gyiyg,giegue,giygas,mary,maria,eve",,,,,,"джордж,минни,мінні,мимми,міммі,дункан,эббот,еббот,лаура,лора,гигу,гігу,гийгас,гійгас,гайгас,гійгас,мэри,мері,мария,марія,ева,єва,george,minnie,mimmie,duncan,abbott,laura,gyiyg,giegue,giygas,mary,maria,maría,eve","джордж,минни,мінні,мимми,міммі,дункан,эббот,еббот,лаура,лора,гигу,гігу,гийгас,гійгас,гайгас,гійгас,мэри,мері,мария,марія,ева,єва,george,minnie,mimmie,duncan,abbott,laura,gyiyg,giegue,giygas,mary,maria,maría,eve",
NAME_BLOCKED,Please change this name.,Veuillez changer ce nom.,"Per favore, cambia nome.",この　なまえは　つけれない,이름을 변경해 주십시오.,No puedes poner este nombre.,No puedes poner este nombre.,"Por favor, mude esse nome.","Proszę, zmień to imię.",Bitte nimm einen anderen Namen.,Измените имя.,"Змініть це ім'я, будь ласка.",
NAME_DUPLICATED,This name's already taken!,Ce nom est déjà pris ¦,Questo nome è già stato usato!,おなじ　なまえは　つけれない,이 이름은 사용 중입니다.,¡Ya has elegido este nombre!,¡Ya has elegido este nombre!,Esse nome já foi usado!,To imię jest już zajęte!,Der Name wird bereits verwendet!,Это имя уже занято!,Це ім'я вже зайнято!,
MENU_MENU,Menu,Menu,Menù,メニュー,메뉴,Menú,Menú,Menu,Menu,Menü,Меню,Меню,
MENU_GOODS,Goods,Objets,Oggetti,グッズ,소지품,Objetos,Objetos,Itens,Przedmioty,Items,Вещи,Інвентар,
MENU_PSI,PSI,PSI,PSI,ＰＳＩ,PSI,PSI,PSI,PSI,PSI,PSI,Психокинез,Психокінез,
MENU_EQUIP,Equip,Équip.,Equipagg.,そうび,장비,Equipar,Equipar,Equipar,Ekwipunek,Ausrüsten,Снаряжение,Спорядження,
MENU_STATUS,Status,Statut,Stato,つよさ,상태,Estado,Estado,Condições,Status,Status,Информация,Статус,
MENU_MAP,Map,Carte,Mappa,マップ,지도,Mapa,Mapa,Mapa,Mapa,Karte,Карта,Мапа,
MENU_OPTIONS,Options,Options,Opzioni,せってい,옵션,Opciones,Opciones,Opções,Opcje,Optionen,Настройки,Параметри,
MENU_SKILLS,Skills,Talents,Abilità,スキル,스킬,Habilidades,Técnicas,Habilidades,Umiejętności,Fähigkeiten,Умения,Навички,
EQUIP_WEAPON,Weapon,Arme,Arma,ぶき,무기,Arma,Arma,Arma,Broń,Waffe,Оружие,Зброя,
EQUIP_BODY,Body,Corps,Corpo,ボディ,몸,Cuerpo,Cuerpo,Corpo,Ciało,Körper,Тело,Тіло,
EQUIP_HEAD,Head,Tête,Testa,あたま,머리,Cabeza,Cabeza,Cabeça,Głowa,Kopf,Голова,Голова,
EQUIP_ARMS,Arms,Bras,Braccia,うで,팔,Brazos,Brazo,Braços,Ręce,Arme,Руки,Руки,
EQUIP_OTHER,Other,Autre,Altro,そのた,기타,Otro,Otro,Outro,Inne,Anderes,Прочее,Інше,
EQUIP_NONE,None,Aucun,Niente,なし,없음,Nada,Nada,Nada,Nic,Nichts,Ничего,Нічого,
