key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru,uk,pr
DIALOGUE_PODUNK_NON-PERSON_TEXT_ENCOREMEETING_5,[@]Nobody has worked on the game in three months!,[@]Ça fait trois mois que plus personne ne bosse sur le jeu !,[@]Sono passati tre mesi e nessuno ha fatto niente!,[@]ここのところ　さんかげつくらい\nかいはつが　すすんでいないだワニ！,[@]3개월 동안 제대로 만든 것도 별로 없었잖아!,[@]¡Nadie ha trabajado en el juego en tres meses!,[@]¡Nadie ha trabajado en el juego en tres meses!,[@]Ninguém trabalha no jogo há três meses!,[@]Przecież nikt nie pracował nad grą jakieś 3 miesiące!,[@]In den letzten drei Monaten hat niemand an dem Spiel gearbeitet!,[@]Над игрой уже три месяца никто не работал!,[@]Над грою вже три місяці ніхто не працює!,
DIALOGUE_PODUNK_NON-PERSON_TEXT_ENCOREMEETING_6,"[@]But we need encounters every two steps, or it won't be faithful!","[@]Mais il faut des combats tous les deux pas, sinon c'est pas fidèle !","[@]Gli incontri casuali devono essere ogni due passi, deve essere fedele!",[@]ランダムエンカウントにもどして\nじごくのエンカウントを　さいげんするべ。,"[@]급하게 만들다가 망하는 거야, 천천히 하자고 천천히.","[@]¡Pero necesitamos enfrentamientos cada dos pasos, o no será fiel al original!","[@]Pero necesitamos enfrentamientos cada 2 pasos,\n¡si no, no será fiel al juego original!","[@]Mas precisamos de batalhas a cada dois passos, senão não vai ser fiel ao original!","[@]Ale potrzebujemy napotkań co dwa kroki, inaczej adaptacja nie będzie wierna!","[@]Wir brauchen aber alle zwei Schritte Gegner, sonst wäre es nicht treu genug!","[@]Да нам нужны битвы через каждые два шага, иначе будет совсем не то!","[@]Але нам потрібні битви через кожні два кроки, інакше буде не по канону!",
DIALOGUE_PODUNK_NON-PERSON_TEXT_ENCOREMEETING_7,"[@]Hey, let's add a minecart scene! Y'know, like that one game!","[@]Hé, on pourrait ajouter une séquence dans un chariot de mine ! Vous savez, comme dans le jeu, là !","[@]Ehi, mettiamo una scena su un carro da miniera! Come in quel gioco lì!",[@]トロッコで　はしりまわる　アトラクションを[BR]ついかするのは　どうでしょうか？　[DELAY:5]チュンチュン！,"[@]야, 우리 마인카트 넣으면 재밌을 거 같지 않냐?[BR]그 게임처럼!","[@]¡Hey, agreguemos una escena en vagoneta! ¡Ya saben, como ese juego!","[@]¡Eh, ¿por qué no añadimos una escena en vagoneta?!\n¡Como en aquel juego!","[@]Ei, bora colocar uma cena com carrinhos de mina! Você sabe, que nem naquele jogo lá!","[@]Wiem, dodajmy scenę z wozem kopalnianym! Wiecie, jak w tej jednej grze!","[@]Hey, lasst uns eine Loren-Sequenz einbauen! Ihr wisst, wie in dem einen Spiel!",[@]А давайте добавим сцену с вагонеткой![BR]Типа как в той игре!,"[@]А давайте додамо сцену з вагонеткою![BR]Знаєте, як у тій грі!",
DIALOGUE_PODUNK_NON-PERSON_TEXT_ENCOREMEETING_8,[@]I can't wait to reveal the Duncan strip-joint we mapped out! Mr. Itoi would be so proud...,[@]J'ai trop hâte de dévoiler notre map du club de strip-tease de Duncan ! M. Itoi serait tellement fier...,[@]Non vedo l'ora di rivelare lo strip club di Duncan che abbiamo mappato! Il Sig. Itoi ne sarebbe fiero...,[@]ストリップクラブのようそを　とりいれよう！[BR]イトイさんも　きっと　まんぞくしてくれるぜ！,[@]우리가 기획한 시스템도 빨리 공개하고 싶어![BR]이토이 씨가 정말 자랑스러워할 거야...,"[@]No puedo esperar por revelar el club de estriptis de Duncan que hemos diseñado, el Sr. Itoi estaría tan orgulloso...",[@]Tengo ganas de revelar el club de estriptis de Duncan que hemos diseñado. El Sr. Itoi estaría tan orgulloso...,[@]Mal posso esperar para revelar o clube de strip-tease de Duncan que criamos! Sr. Itoi ficaria tão orgulhoso...,"[@]Nie mogę się doczekać, aby ujawnić nasz nowo opracowany klub striptizowy Duncan! Pan Itoi byłby dumny...","[@]Ich kann's gar nicht erwarten, unsere Karte vom Duncan Strip-Club zu enthüllen! Herr Itoi-san wäre so stolz ...",[@]Мне уже не терпится показать наш стрип-клуб Дункана! Господин Итои был бы так горд...,[@]Мені вже не терпиться показати наш стрип-клуб Дункана! Містер Ітоі був би такий щасливий...,
DIALOGUE_PODUNK_NON-PERSON_TEXT_ENCOREMEETING_9,[@]Development seems to be going smoothly.,[@]Le développement a l'air de bien avancer.,[@]Gli sviluppi sembrano andare bene.,[@](・・・。[BR]かいはつは　じゅんちょうに\nすすんでいるようだ。),[@]개발은 순조롭게 진행되고 있는 것 같다.,[@]El desarrollo parece ir sobre ruedas.,[@]El desarrollo parece ir sobre ruedas.,[@]Parece estar indo bem.,"[@]Wygląda na to, że wszystko ładnie się rozwija.",[@]Die Entwicklung scheint gut voranzuschreiten.,"[@]Разработка, похоже, идёт как по маслу.","[@]Схоже, розробка йде як по маслу.",
DIALOGUE_PODUNK_NON-PERSON_TEXT_ENCOREMEETING_SPEAKER_???,???,???,???,？？？,???,???,???,???,???,???,???,???,
DIALOGUE_PODUNK_NON-PERSON_TEXT_FLAMINGO_0,[@]These flamingos wouldn't flinch if you threw a rock at them.,[@]Ces flamands roses ne réagiraient même pas si vous leur lanciez un caillou.,[@]Questi fenicotteri resterebbero fermi anche se gli lanciassi addosso delle pietre.,[@]「このフラミンゴたちは\nいしをなげられても　どうじない。」,[@]이 홍학들은 돌을 던져도 놀라지 않아요.,[@]Estos flamencos no se inmutarán si les lanzas una piedra.,[@]Estos flamencos ni se inmutarían si les tirases una piedra.,[@]Esses flamingos não se assustam nem se você jogasse uma pedra neles.,"[@]Te flamingi nie drgnęłyby, nawet gdybyś rzucił w nie kamieniem.","[@]Diese Flamingos würden nichteinmal zucken, wenn du einen Stein auf sie wirfst.","[@]Если бросить в этих фламинго камень, они даже не вздрогнут.","[@]Якщо кинути в цих фламінго камінь, вони навіть не здригнуться.",
DIALOGUE_PODUNK_NON-PERSON_TEXT_FRIENDLY_TIGERS_0,[@]The friendliest tigers in the world!,[@]Les tigres les plus gentils du monde !,[@]Le tigri più amichevoli del mondo!,[@]「せかいいち　ひとなつっこいトラ！」,[@]세상에서 가장 친근한 호랑이들!,[@]¡Los tigres más amigables del mundo!,[@]¡Los tigres más amigables del mundo!,[@]Os tigres mais amigáveis do mundo!,[@]Najprzyjaźniejsze tygrysy na świecie!,[@]Die freundlichsten Tiger der Welt!,[@]Самые дружелюбные тигры в мире!,[@]Найдружніші тигри у світі!,
DIALOGUE_PODUNK_NON-PERSON_TEXT_HOTEL_0,[@]Come visit Podunk's one and only hotel![WAIT@]Stay with us for one night you'll feel good as new![WAIT@]Only $50 per night.,[@]Venez visiter le seul et unique hôtel de Podunk ![WAIT@]Un peu de repos dans notre établissement et vous vous sentirez ragaillardi ![WAIT@]Seulement 50 $ la nuit.,[@]Venite a visitare l'unico hotel di Podunk![WAIT@]State da noi una notte e vi sentirete come nuovi![WAIT@]Solo 50 $ a notte.,[@]「マザーズデイの　ゆいいつの\n　ホテルに　しゅくはくは　いかがですか？[WAITBR]　ひとばんで　かんぜんに　リフレッシュ！[WAITBR]　いっぱく　５０ドル。」,[@]마더즈데이의 유일무이한 호텔에 놀러 오세요![WAIT@]하룻밤만 자게 되면 다시 태어난 것 같은 편안함을\n느낄 수 있을 겁니다![WAIT@]1박에 단돈 50달러!,[@]¡Venga a visitar el único hotel de Podunk![WAIT@]¡Quédate con nosotros una noche y te sentirás como nuevo![WAIT@]Sólo $50 la noche.,[@]¡Ven a visitar el único hotel de Podunk![WAIT@]¡Quédate con nosotros una noche y te sentirás\ncomo nuevo![WAIT@]Solo 50$ la noche.,[@]Venha visitar o primeiro e único hotel de Podunk![WAIT@]Passe uma noite aqui e saia novinho em folha![WAIT@]Apenas $50 por noite.,"[@]Chodź i odwiedź jedyny hotel w Podunk![WAIT@]Zostań z nami jedną noc, a poczujesz się jak nowo narodzony![WAIT@]Jedynie 50$ za noc.",[@]Kommt und besucht das einzig wahre Hotel Podunk![WAIT@]Bleibt eine Nacht bei uns und fühlt Euch so gut wie neu![WAIT@]Nur 50 $ die Nacht.,[@]Приходите в единственный и неповторимый отель Поданка![WAIT@]Останьтесь у нас на ночь — и на следующий день будете как огурчик![WAIT@]Всего 50 $ за ночь.,[@]Заходьте до єдиного і неповторного готелю Поданку![WAIT@]Залиштеся у нас на ніч — і наступного дня будете як новенький![WAIT@]Лише 50 $ за ніч.,[@]Come visit Mother's Day's one and only hotel![WAIT@]Stay with us for one night you'll feel good as new![WAIT@]Only $50 per night.
DIALOGUE_PODUNK_NON-PERSON_TEXT_HYENAS_0,[@]These hyenas will laugh at anyone's jokes.,[@]Ces hyènes pourraient rire aux blagues de n'importe qui.,[@]Queste iene ridono alle barzellette di chiunque.,[@]「このハイエナは　おやじギャグにでも\nわらってしまう。」,[@]이 하이에나는 부장님의 그 어떤 개그라도 웃을 거\n같다.,[@]Las hienas se reirán de los chistes de cualquiera.,[@]Estas hienas se ríen de todos los chistes.,[@]Essas hienas riem das piadas de qualquer um.,[@]Te hieny będą śmiać się z żartów każdego.,[@]Diese Hyänen würden über jedermanns Witze lachen.,[@]Эти гиены засмеются над любыми шутками.,[@]Ці гієни засміються над будь-якими жартами.,
DIALOGUE_PODUNK_NON-PERSON_TEXT_LAZY_PANDA_0,"[@]Fun fact, pandas possess the capacity to eat meat, but they're too lazy so they eat bamboo instead.","[@]Détail amusant : les pandas possèdent la capacité de manger de la viande, mais ils sont tellement paresseux qu'ils mangent des bambous à la place.","[@]Curiosità: i panda possono mangiare la carne, ma sono troppo pigri, quindi mangiano il bambù.",[@]「パンダは　にくも　たべられるが\nかりが　めんどうなため　かわりに\nたけを　たべるのだ」,"[@]재밌는 사실, 판다는 고기를 먹을 수 있지만, 너무\n게을러 대나무를 먹는다!","[@]Dato curioso: los pandas poseen la capacidad de comer carne, pero no lo hacen porque son demasiado flojos y en vez comen bamboo.","[@]Dato curioso sobre los pandas: tienen la capacidad de comer carne, pero son tan perezosos que prefieren comer bambú en su lugar.","[@]Fato curioso: pandas conseguem comer carne, mas como são preguiçosos, comem bambu mesmo.","[@]Ciekawostka: pandy są zdolne do jedzenia mięsa, ale są zbyt leniwe, więc zamiast tego jedzą bambus.","[@]Trivia: Pandas können zwar technisch Fleisch essen, sind aber zu faul und essen stattdessen Bambus.","[@]Интересный факт: панды, как и все хищники, способны есть мясо, но они настолько ленивы, что вместо него едят бамбук.","[@]Цікавий факт: панди, як і всі хижаки, здатні їсти м'ясо, але вони настільки ледачі, що замість нього їдять лиш бамбук.",
DIALOGUE_PODUNK_NON-PERSON_TEXT_LEAVING_PODUNK_0,[@]You are now leaving Podunk. Goodbye!,[@]Vous quittez la ville de Podunk. Au revoir !,[@]State lasciando Podunk. Arrivederci!,[@]「ここから　きみの　だいぼうけんが\n　はじまるのだ！　グッドラック！！！」,"[@]이 구간까지가 마더즈데이입니다, 안녕히 가세요!",[@]Ahora estás saliendo de Podunk. ¡Adiós!,[@]Estás abandonando Podunk. ¡Adiós!,[@]Você está saindo de Podunk. Até logo!,[@]Opuszczasz Podunk. Do widzenia!,[@]Sie verlassen jetzt Podunk. Auf Wiedersehen!,[@]Вы покидаете Поданк. До свидания!,[@]Ви залишаєте Поданк. До побачення!,[@]You are now leaving Mother's Day. Goodbye!
DIALOGUE_PODUNK_NON-PERSON_TEXT_PENGUINS_0,[@]I like penguins and you should too.,[@]J'aime les pingouins et vous devriez les aimer aussi.,"[@]Mi piacciono i pinguini, dovrebbero piacere anche a voi.",[@]「みんな　だいすき　ペンギンだよ！[BR]せかいには　18しゅるいもいるんだ。」,[@]나도 좋아하고 너도 좋아하고 모두가 좋아하는 펭귄!,"[@]Me gustan los pingüinos, y a ti también deberían gustarte.","[@]Me gustan los pingüinos, y a ti también deberían gustarte.","[@]Eu gosto de pinguins, e você também deveria.",[@]Lubię pingwiny i ty też powinieneś.,[@]Ich mag Pinguine und das solltest du auch.,[@]Я люблю пингвинов — и вам советую.,[@]Я люблю пінгвінів – і вам раджу.,
DIALOGUE_PODUNK_NON-PERSON_TEXT_PODUNK-CANARY_VILLAGE_0,[@]Go down south to reach Podunk town.[WAIT@]Head west if you wanna check out Canary Village.,[@]Dirigez-vous vers le sud pour accéder à la ville de Podunk.[WAIT@]Dirigez-vous vers l'ouest si vous voulez visiter le village Canari.,[@]Andate a sud per raggiungere la città di Podunk.[WAIT@]Andate a ovest per visitare il Villaggio Canarino.,[@]「みなみ　マザーズデイ[WAITBR]　にし　カナリアむら」,[@]남쪽에는 마더즈데이가 있습니다.[WAIT@]카나리아 마을은 서쪽에 있습니다.,[@]Ve al sur para llegar a la ciudad de Podunk.[WAIT@]Diríjase al oeste si quieres visitar a la Villa Canario.,[@]Ve hacia el sur para llegar a Podunk.[WAIT@]Dirígete hacia el oeste si quieres visitar la\nAldea Canaria.,[@]Vá para o sul para chegar à cidade de Podunk.[WAIT@]Siga para oeste se quiser ver a Vila Canarinho.,"[@]Udaj się na południe, aby dotrzeć do miasta Podunk.[WAIT@]Kieruj się na zachód, jeśli chcesz odwiedzić Wioskę Kanarków.","[@]Geht weiter runter Richtung Süden, um Podunk zu erreichen.[WAIT@]Haltet euch westlich, wenn ihr das Kanariendorf erforschen wollt.","[@]Чтобы добраться до Поданка, направляйтесь на юг.[WAIT@]Если вы хотите посетить Канарскую деревушку, направляйтесь на запад.","[@]Щоб дістатися Поданку, прямуйте на південь.[WAIT@]Якщо бажаєте відвідати Село канарок, прямуйте на захід.",[@]Go down south to reach Mother's Day town.[WAIT@]Head west if you wanna check out Canary Village.
DIALOGUE_PODUNK_NON-PERSON_TEXT_PODUNK-CEMETERY_0,[@]North leads you to Podunk.[WAIT@]Head south for the Cemetery.,[@]La route du nord conduit à Podunk.[WAIT@]Dirigez-vous vers le sud pour accéder au cimetière.,[@]A nord si va verso Podunk.[WAIT@]Verso sud per il cimitero.,[@]「きた　マザーズデイ[WAITBR]　みなみ　はかば」,"[@]마더즈데이는 북쪽,[WAIT@]공동묘지는 남쪽에 있습니다.",[@]El norte te lleva a Podunk.[WAIT@]Diríjase al sur para el cementerio.,[@]Podunk está hacia el norte.[WAIT@]El cementerio está hacia el sur.,"[@]Seguindo para o norte, você chega em Podunk.[WAIT@]Vá para o sul para chegar ao Cemetério.","[@]Północ prowadzi do Podunk.[WAIT@]Kieruj się na południe, aby dostać się na cmentarz.",[@]Der Norden führt nach Podunk.[WAIT@]Haltet euch südlich für den Friedhof.,[@]Северная тропа ведёт в Поданк.[WAIT@]Кладбище находится к югу отсюда.,[@]Північна стежка веде в Поданк.[WAIT@]Цвинтар знаходиться на південь звідси.,[@]North leads you to Mother's Day.[WAIT@]Head south for the Cemetery.
DIALOGUE_PODUNK_NON-PERSON_TEXT_SANTA-YUCCA_0,[@]Go southeast to reach Merrysville.,[@]Dirigez-vous vers le sud-est pour accéder à Merrysville.,[@]Andate a sudest per Merrysville.,[@]「なんとう　サンクスギビング」,[@]남동쪽에는 땡스기빙데이가 있습니다.,[@]Dirígete al sureste para llegar a Merrysville.,[@]Ve al sureste para llegar a Merrysville.,[@]Vá para sudeste para chegar a Merrysville,"[@]Idź na południowy wschód, aby dotrzeć do Merrysville.","[@]Geht südöstlich, um Marrysville zu erreichen.","[@]Чтобы добраться до Меррисвиля, идите на юго-восток.","[@]Щоб дістатися Меррісвілю, йдіть на південний схід.",[@]Go southeast to reach Thanksgiving.
DIALOGUE_PODUNK_NON-PERSON_TEXT_THANKS_0,[@]Thank you for visiting Choucream Zoo!,[@]Merci d'avoir visité le zoo Patachou !,[@]Grazie per aver visitato lo Zoo Profiterole!,[@]「シュークリームどうぶつえんへ　ようこそ！[WAITBR]　せいもん　ここから　にしに　７００メートル」,[@]슈크림 동물원에 방문해 주셔서 감사합니다!,[@]¡Gracias por visitar al Zoo Choucream!,[@]¡Gracias por visitar el Zoo Choucream!,[@]Obrigado por visitar o Zoológico Choucream!,[@]Dziękujemy za wizytę w Zoo Choucream!,[@]Vielen Dank für Euren Besuch im Windbeutel-Zoo!,[@]Благодарим за посещение зоопарка «Профитроль»!,[@]Дякуємо за відвідування зоопарку «Профітроль»!,[@]Thank you for visiting Cream Puff Zoo!
DIALOGUE_PODUNK_NON-PERSON_TEXT_TOWN_HALL_0,[@]Welcome to Town hall.[WAIT@]Please keep any grievances to yourself. – Mayor,[@]Bienvenue à la mairie.[WAIT@]Merci de garder pour vous vos doléances.[BR]– Votre maire,[@]Benvenuti al municipio.[WAIT@]Siete pregati di tenervi per voi le lamentele. – Il Sindaco,[@]「マザーズデイ　まちやくば[WAITBR]　せいぎと　しみんのみかた！[BR]　グッドマンちょうちょうへの　ごそうだんは\n　こちらへ！　　　(くじょう　おことわり。)」,[@]시청에 오신 것을 환영합니다.[WAIT@]불만이 있더라도 혼자만 알고 있어라. – 시장,"[@]Bienvenido al ayuntamiento.[WAIT@]Por favor, guárdese cualquier queja para usted.\n– El Alcalde","[@]Bienvenido al ayuntamiento.[WAIT@]Por favor, guárdese cualquier queja para usted.\n– El Alcalde","[@]Bem-vindo à Prefeitura.[WAIT@]Por favor, guarde quaisquer queixas para si mesmo. \n– Prefeito",[@]Witamy w ratuszu miejskim.[WAIT@]Prosimy o zachowanie wszelkich zażaleń dla siebie.\n– Burmistrz,[@]Willkommen im Rathaus.[WAIT@]Bitte behalten Sie etwaige Beschwerden für sich.\n– Der Bürgermeister,"[@]Перед вами находится мэрия города.[WAIT@]Убедительная просьба: все претензии\nдержите при себе. С уважением, мэр.","[@]Ласкаво просимо до мерії міста.[WAIT@]Переконливе прохання: всі претензії\nтримайте при собі. З повагою, мер.",
DIALOGUE_PODUNK_NON-PERSON_TEXT_WELCOME_TO_PODUNK_0,[@]Welcome to Podunk![WAIT@]Let's make this a town that puts a smile on everyone's face!,[@]Bienvenue à Podunk ![WAIT@]Faisons de cette ville un endroit qui donne le sourire !,[@]Benvenuti a Podunk![WAIT@]Che questa città possa far sorridere tutti!,[@]「ウェルカム　トゥ　マザーズデイ！[WAIT@]　みんなで　えがおの　まちづくり！」,[@]마더즈데이에 오신 것을 환영합니다![WAIT@]모두에게 웃음을 주는 마을로 만들겠습니다!,[@]¡Bienvenidos a Podunk![WAIT@]¡Hagamos de esta una ciudad que ponga una sonrisa en la cara de todos!,[@]¡Bienvenido a Podunk![WAIT@]¡Hagamos de este un pueblo que saque una sonrisa a todo el mundo!,[@]Bem-vindo a Podunk![WAIT@]Vamos fazer da nossa cidade uma alegria para todos!,"[@]Witamy w Podunk![WAIT@]Sprawmy, aby to miasto przynosiło uśmiech na każdej twarzy!","[@]Willkommen in Podunk![WAIT@]Lasst uns eine Stadt bauen, die jedem ein Lächeln ins Gesicht zaubert!","[@]Добро пожаловать в Поданк![WAIT@]Сделаем город таким, чтобы он у всех вызывал улыбки!","[@]Ласкаво просимо до Поданку![WAIT@]Зробимо місто таким, щоб воно у кожного викликало посмішку!",
