key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru
FIELD_TELEPORT,Teleport,Téléportation,Teletrasporto,テレポート,텔레포트,Teletransporte,Teletransporte,Teleporte,Teleportacja,Teleportieren,Телепортация
FIELD_TELEPORT_DESC,,,,,,,,,,,
FIELD_LASER,Laser,Laser,Laser,レーザー,레이저,Láser,Láser,Arma de Plasma,Laser,Laser,Лазер
FIELD_LASER_DESC,,,,,,,,,,,
FIELD_PK_FIRE,PK Fire,PK Feu,PsicoFuoco,PKファイアー,PK 파이어,PK Fuego,PK Fuego,PK Fogo,PK Ogień,PK-Feuer,ПК-огонь
FIELD_PK_FIRE_DESC,,,,,,,,,,,
FIELD_PK_FREEZE,PK Freeze,PK Glace,PsicoGhiaccio,PKフリーズ,PK 프리즈,PK Hielo,PK Hielo,PK Gelo,PK Mróz,PK-Frost,ПК-стужа
FIELD_PK_FREEZE_DESC,,,,,,,,,,,
FIELD_PK_THUNDER,PK Thunder,PK Foudre,PsicoTuono,PKサンダー,PK 썬더,PK Trueno,PK Trueno,PK Raio,PK Piorun,PK-Donner,ПК-гроза
FIELD_PK_THUNDER_DESC,,,,,,,,,,,
