key,en,fr,it,ja,ko,es,es_ES,pt_BR,pl,de,ru
DIALOGUE_SHITPOST_DIALOGUE_PAPER_1,"[@]After the subject is awake, please be sure to instruct the subject to complete the rehabilitation training under surveillance.","[@]Lorsque le sujet sera réveillé, assurez-vous de le charger de compléter le programme de rééducation sous surveillance.",,,,,,,,,
DIALOGUE_SHITPOST_DIALOGUE_PAPERCLIP_0,[@]Don't know whose notes these are.,[@]Qui sait à qui appartiennent ces notes...,,,,,,,,,
DIALOGUE_SHITPOST_DIALOGUE_PAPERCLIP_0-OPT_0,First page,Première page,,,,,,,,,
DIALOGUE_SHITPOST_DIALOGUE_PAPERCLIP_0-OPT_1,Second page,Deuxième page,,,,,,,,,
DIALOGUE_SHITPOST_DIALOGUE_PAPERCLIP_1,"[@]Don't make any contact with them![WAIT@]Once you touch them, you will lose yourself immediately![WAIT@]If you don't want to be part of them![WAIT@]Just be sure to avoid them![WAIT@]Bless you, survivor![WAIT@]...[WAIT@]Who are ""they""?[WAIT@]The handwriting of this note is very sloppy, and...[WAIT@]It doesn't look like it could have been written by the kidnappers, it is obviously a warning.[WAIT@]In an instant, you kind of hope that all of this is just a reality show.","[@]Ne les touchez pas ¦[WAIT@]Dès que vous les aurez touchés, vous vous perdrez ¦[WAIT@]Si vous ne voulez pas être l'un[LeadArt6] des leurs ¦[WAIT@]Assurez-vous de les éviter ¦[WAIT@]Soyez béni[LeadArt6], survivant[LeadArt6] ¦[WAIT@]...[WAIT@]Qui sont-« ils » ?[WAIT@]L'écriture est très négligée sur cette note, et...[WAIT@]Elle n'a pas l'air d'avoir été écrite par l'un des ravisseurs, c'est clairement une mise en garde.[WAIT@]L'espace d'un instant, vous espérez en quelque sorte que tout ça ne soit qu'une émission de téléréalité.",,,,,,,,,
DIALOGUE_SHITPOST_DIALOGUE_PAPERCLIP_11,"[@]The smart sweage system will automatically absorb the sewage above the sewer opening.[WAIT@]Do not dump untreated sticky substances, samples, chemicals into the sewer.[WAIT@]Especially biological samples.","[@]Le réseau d'égout intelligent absorbe automatiquement les eaux usées qui passent au-dessus de la bouche d'évacuation.[WAIT@]Veuillez ne pas jeter de substances collantes non traitées, d'échantillons ou de produits chimiques dans les égouts.[WAIT@]En particulier des échantillons biologiques.",,,,,,,,,
DIALOGUE_SHITPOST_DIALOGUE_PIPES_0,[@]Full of pipes and wires inside the wall.,[@]De nombreux câbles et tuyaux passent à l'intérieur du mur.,,,,,,,,,
DIALOGUE_SHITPOST_DIALOGUE_SCREEN_0,[@]Screen doesn't work anymore.,[@]L'écran ne fonctionne plus.,,,,,,,,,
DIALOGUE_SHITPOST_DIALOGUE_SCREEN_1,[@]Dust is all over the screen.,[@]L'écran est couvert de poussière.,,,,,,,,,
DIALOGUE_SHITPOST_DIALOGUE_SUBSTANCES_0,[@]Dried unknown chemicals precipitates at the bottom of test tubes.,[@]Des précipités de produits chimiques inconnus subsistent au fond des tubes à essai.,,,,,,,,,
DIALOGUE_SHITPOST_DIALOGUE_SUBSTANCES_1,[@]You are hungry as hell but raise no desire to eat this thing at all.,"[@]Vous avez terriblement faim, mais vous n'avez absolument aucune envie de manger cette chose.",,,,,,,,,
DIALOGUE_SHITPOST_DIALOGUE_VENT_0,[@]There is a glowing switch inside the vent.,[@]Il y a un interrupteur lumineux à l'intérieur de la bouche d'aération.,,,,,,,,,
DIALOGUE_SHITPOST_DIALOGUE_VENT_1,"[@]But this little hatch can only be opened from the inside.[WAIT@]You look inside, then give up the idea of crawling in.[WAIT@]...[WAIT@]It sounds like something is dragging and sliding.[WAIT@]Don't get closer...","[@]Mais cette petite trappe ne peut être ouverte que de l'intérieur.[WAIT@]Vous regardez à l'intérieur, puis vous abandonnez l'idée de vous y faufiler.[WAIT@]...[WAIT@]Vous avez l'impression d'entendre quelque chose circuler à l'intérieur.[WAIT@]Ne vous approchez pas davantage...",,,,,,,,,
